dataset,model_family,variant_name,imbalance_strategy,calibration_type,fit_seconds,fn_cost,fp_cost,review_cost,calibration_fit_split,policy_selection_split,test_set_used_for_selection,new_features_created,validation_roc_auc,validation_pr_auc,validation_brier,validation_ece,validation_best_binary_cost,validation_best_manual_review_cost,validation_best_manual_review_rate,calibration_val_roc_auc,calibration_val_pr_auc,calibration_val_brier,calibration_val_ece
heloc,XGBoost,xgboost_spw_1.5_mds_5,scale_pos_weight=1.5; max_delta_step=5,uncalibrated,0.2972010000376031,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7938151431929252,0.7872190048051144,0.18836457947337656,0.060674520160364995,910.0,760.0,0.2988855116514691,0.7982228867532586,0.7857585781429992,0.18668996353814146,0.07150244078429946
heloc,XGBoost,xgboost_spw_1.5_mds_5,scale_pos_weight=1.5; max_delta_step=5,sigmoid,0.2972010000376031,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7938151431929252,0.7872190048051144,0.18436876018522033,0.014439991709801514,910.0,760.5,0.2933130699088146,0.7982228867532586,0.7857585781429992,0.18223170849154857,0.03258654537533785
heloc,XGBoost,xgboost_spw_1.5_mds_5,scale_pos_weight=1.5; max_delta_step=5,isotonic,0.2972010000376031,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7905639599863864,0.7683164490179485,0.1856773932045467,0.026057958223759406,927.0,785.0,0.22391084093211752,0.8066091035679229,0.7818669699277082,0.17648373228244607,9.844445933543319e-17
heloc,XGBoost,xgboost_spw_2_mds_1,scale_pos_weight=2; max_delta_step=1,uncalibrated,0.2961513999616727,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7925535360473139,0.7886398951360383,0.19585042850051762,0.09939605114073802,913.0,754.0,0.2938196555217832,0.8018010820188555,0.7890770970578221,0.19223783844443187,0.10865607064233049
heloc,XGBoost,xgboost_spw_2_mds_1,scale_pos_weight=2; max_delta_step=1,sigmoid,0.2961513999616727,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7925535360473139,0.7886398951360383,0.18496418309821563,0.017311452644124477,908.0,754.0,0.2998986828774063,0.8018010820188555,0.7890770970578221,0.18038604421740312,0.04545196329620829
heloc,XGBoost,xgboost_spw_2_mds_1,scale_pos_weight=2; max_delta_step=1,isotonic,0.2961513999616727,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7881399674470398,0.7633230683418274,0.18717573699381046,0.03636287617361935,915.0,770.0,0.23809523809523808,0.8117267217567968,0.7853401637384823,0.17383148422687014,4.0848712129668205e-17
heloc,XGBoost,xgboost_spw_2_mds_3,scale_pos_weight=2; max_delta_step=3,uncalibrated,0.2996631000423804,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7947713735477895,0.7909730659177632,0.19510327306323566,0.09942861070258215,917.0,762.5,0.29128672745694023,0.797452461935307,0.781153238274555,0.1946700849232685,0.1059755679895858
heloc,XGBoost,xgboost_spw_2_mds_3,scale_pos_weight=2; max_delta_step=3,sigmoid,0.2996631000423804,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7947713735477895,0.7909730659177632,0.18397329893160605,0.026601761717654156,915.0,762.5,0.29635258358662614,0.797452461935307,0.781153238274555,0.18259037691016597,0.042275937577204326
heloc,XGBoost,xgboost_spw_2_mds_3,scale_pos_weight=2; max_delta_step=3,isotonic,0.2996631000423804,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7926064885884703,0.7698382209908907,0.18634620801781807,0.04506611970926191,934.0,760.5,0.29635258358662614,0.8070385440682996,0.7827132339465327,0.1756418053785002,1.3608429900996117e-17
heloc,XGBoost,xgboost_spw_2_mds_5,scale_pos_weight=2; max_delta_step=5,uncalibrated,0.29857410001568496,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7947713735477895,0.7909730659177632,0.19510327306323566,0.09942861070258215,917.0,762.5,0.29128672745694023,0.797452461935307,0.781153238274555,0.1946700849232685,0.1059755679895858
heloc,XGBoost,xgboost_spw_2_mds_5,scale_pos_weight=2; max_delta_step=5,sigmoid,0.29857410001568496,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7947713735477895,0.7909730659177632,0.18397329893160605,0.026601761717654156,915.0,762.5,0.29635258358662614,0.797452461935307,0.781153238274555,0.18259037691016597,0.042275937577204326
heloc,XGBoost,xgboost_spw_2_mds_5,scale_pos_weight=2; max_delta_step=5,isotonic,0.29857410001568496,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7926064885884703,0.7698382209908907,0.18634620801781807,0.04506611970926191,934.0,760.5,0.29635258358662614,0.8070385440682996,0.7827132339465327,0.1756418053785002,1.3608429900996117e-17
heloc,XGBoost,xgboost_spw_2.5_mds_1,scale_pos_weight=2.5; max_delta_step=1,uncalibrated,0.290833399980329,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7933668459512898,0.7887979342261033,0.2032423569091328,0.12985363760406365,910.0,760.0,0.29584599797365757,0.7998350720204535,0.7868902855001476,0.20155618399085842,0.13557324919393796
heloc,XGBoost,xgboost_spw_2.5_mds_1,scale_pos_weight=2.5; max_delta_step=1,sigmoid,0.290833399980329,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7933668459512898,0.7887979342261033,0.18462669945256469,0.011451303549462515,915.0,758.0,0.2968591691995947,0.7998350720204535,0.7868902855001476,0.18161619591723352,0.041658000615116805
heloc,XGBoost,xgboost_spw_2.5_mds_1,scale_pos_weight=2.5; max_delta_step=1,isotonic,0.290833399980329,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7902945703595323,0.7700317587161799,0.18616607738823118,0.029786388207387198,926.0,774.0,0.2613981762917933,0.808132832652316,0.7882028355225223,0.1757953233464757,2.8505093269384295e-17
heloc,XGBoost,xgboost_spw_2.5_mds_3,scale_pos_weight=2.5; max_delta_step=3,uncalibrated,0.292410199996084,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7937606483447446,0.7919086548285668,0.20321251082277847,0.13159110651492106,911.0,763.5,0.2993920972644377,0.7956976054055288,0.7792115244415503,0.20289995791478793,0.13448460993007266
heloc,XGBoost,xgboost_spw_2.5_mds_3,scale_pos_weight=2.5; max_delta_step=3,sigmoid,0.292410199996084,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7937606483447446,0.7919086548285668,0.18445923393194247,0.012553697253044319,912.0,768.0,0.2948328267477204,0.7956976054055288,0.7792115244415503,0.18322087288861602,0.034426377197070174
heloc,XGBoost,xgboost_spw_2.5_mds_3,scale_pos_weight=2.5; max_delta_step=3,isotonic,0.292410199996084,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7911772840795872,0.7720778270670002,0.18583977938469712,0.020876485170136915,926.0,783.5,0.2689969604863222,0.80376281187938,0.7803460368026509,0.17790415395842735,1.545880160870471e-17
heloc,XGBoost,xgboost_spw_2.5_mds_5,scale_pos_weight=2.5; max_delta_step=5,uncalibrated,0.29345760005526245,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7937606483447446,0.7919086548285668,0.20321251082277847,0.13159110651492106,911.0,763.5,0.2993920972644377,0.7956976054055288,0.7792115244415503,0.20289995791478793,0.13448460993007266
heloc,XGBoost,xgboost_spw_2.5_mds_5,scale_pos_weight=2.5; max_delta_step=5,sigmoid,0.29345760005526245,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7937606483447446,0.7919086548285668,0.18445923393194247,0.012553697253044319,912.0,768.0,0.2948328267477204,0.7956976054055288,0.7792115244415503,0.18322087288861602,0.034426377197070174
heloc,XGBoost,xgboost_spw_2.5_mds_5,scale_pos_weight=2.5; max_delta_step=5,isotonic,0.29345760005526245,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7911772840795872,0.7720778270670002,0.18583977938469712,0.020876485170136915,926.0,783.5,0.2689969604863222,0.80376281187938,0.7803460368026509,0.17790415395842735,1.545880160870471e-17
heloc,XGBoost,xgboost_spw_3_mds_1,scale_pos_weight=3; max_delta_step=1,uncalibrated,0.2930454999441281,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7913464237498831,0.7876016140492262,0.21141420375168232,0.15396075409279406,918.0,752.0,0.2968591691995947,0.7976550551281758,0.785160883585847,0.2092236753153054,0.15768026539796515
heloc,XGBoost,xgboost_spw_3_mds_1,scale_pos_weight=3; max_delta_step=1,sigmoid,0.2930454999441281,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7913464237498831,0.7876016140492262,0.1855067424694451,0.01646912577722733,921.0,763.0,0.2877406281661601,0.7976550551281758,0.785160883585847,0.1823679412840886,0.04458424419405067
heloc,XGBoost,xgboost_spw_3_mds_1,scale_pos_weight=3; max_delta_step=1,isotonic,0.2930454999441281,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7877153189131054,0.7645477487999882,0.18691885830362368,0.026870218735568437,933.0,775.0,0.2613981762917933,0.8067489214052548,0.7819577372954808,0.1762439557158445,1.0305867739136475e-17
heloc,XGBoost,xgboost_spw_3_mds_3,scale_pos_weight=3; max_delta_step=3,uncalibrated,0.297978000016883,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.792958648692278,0.7905733237290161,0.2112770000314105,0.15310787669974624,912.0,762.5,0.29635258358662614,0.7958260095418541,0.7840406559396105,0.21060230957149517,0.15795852896219062
heloc,XGBoost,xgboost_spw_3_mds_3,scale_pos_weight=3; max_delta_step=3,sigmoid,0.297978000016883,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.792958648692278,0.7905733237290161,0.18484935863171723,0.008837746611639778,915.0,767.0,0.2938196555217832,0.7958260095418541,0.7840406559396105,0.1834150017252132,0.04717532193486842
heloc,XGBoost,xgboost_spw_3_mds_3,scale_pos_weight=3; max_delta_step=3,isotonic,0.297978000016883,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7876741907257993,0.765583130145876,0.18788551243762996,0.03826127807613555,928.0,792.5,0.22948328267477203,0.8060983404478735,0.7847979531499217,0.1766869693712562,3.6538985620574776e-17
heloc,XGBoost,xgboost_spw_3_mds_5,scale_pos_weight=3; max_delta_step=5,uncalibrated,0.31236229999922216,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.792958648692278,0.7905733237290161,0.2112770000314105,0.15310787669974624,912.0,762.5,0.29635258358662614,0.7958260095418541,0.7840406559396105,0.21060230957149517,0.15795852896219062
