dataset,split,model,threshold_probability,tp,fp,tn,fn,net_benefit,net_benefit_treat_all,net_benefit_treat_none,better_than_treat_all,better_than_treat_none,candidate_note,test_set_used_for_selection,best_model_at_threshold,rank_model_only_at_threshold
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.18,951,1364,3309,376,0.10859756097560977,0.05020325203252038,0.0,True,True,,False,SCRE-Optimized probability ranking,3
taiwan,validation,V2 final locked policy ranking,0.19,885,1127,3546,442,0.103440329218107,0.03847736625514406,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best CatBoost probability ranking,0.19,885,1127,3546,442,0.103440329218107,0.03847736625514406,0.0,True,True,,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best Scorecard probability ranking,0.19,879,1162,3511,448,0.10107201646090536,0.03847736625514406,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.19,902,1174,3499,425,0.10443621399176957,0.03847736625514406,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,4
taiwan,validation,SCRE-Optimized probability ranking,0.19,975,1266,3407,352,0.11300617283950617,0.03847736625514406,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.19,965,1273,3400,362,0.11106584362139918,0.03847736625514406,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.19,922,1252,3421,405,0.1047201646090535,0.03847736625514406,0.0,True,True,,False,SCRE-Optimized probability ranking,3
taiwan,validation,V2 final locked policy ranking,0.2,862,1043,3630,465,0.10020833333333333,0.02645833333333336,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,4
taiwan,validation,Best CatBoost probability ranking,0.2,862,1043,3630,465,0.10020833333333333,0.02645833333333336,0.0,True,True,,False,SCRE-Optimized probability ranking,4
