dataset,analysis_type,fold,seed,n,precision,recall,specificity,pr_auc,roc_auc,cost,manual_review_rate,calibration_error,tp,fp,fn,tn,target_rate,score_mean,score_std,low_rate,manual_rate,high_rate,score_psi_vs_first_order_block,mean_feature_psi_vs_first_order_block,max_feature_psi_vs_first_order_block,decision_stability,real_temporal_validation,use_in_report_as,limitation
heloc,random_locked_test_partition_diagnostic,2,123.0,395,0.671875,0.8390243902439024,0.5578947368421052,0.800899248079749,0.7866752246469833,159.5,0.2810126582278481,0.047510808246489615,172,84,33,106,0.5189873417721519,0.5164732562494483,0.24212311785320542,0.07088607594936709,0.2810126582278481,0.6481012658227848,,,,0.9853164556962025,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,3,123.0,395,0.7086614173228346,0.8294930875576036,0.5842696629213483,0.8372791694324384,0.8054937089007403,153.0,0.2481012658227848,0.049342814799303095,180,74,37,104,0.549367088607595,0.5268617499693354,0.2584847057183951,0.10886075949367088,0.2481012658227848,0.6430379746835443,,,,0.9767088607594937,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,4,123.0,395,0.6274509803921569,0.8333333333333334,0.5320197044334976,0.7229408600930582,0.7639573070607553,156.0,0.28354430379746837,0.068981892932061,160,95,32,108,0.4860759493670886,0.513008063618146,0.24653280236130082,0.07088607594936709,0.28354430379746837,0.6455696202531646,,,,0.9853164556962025,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,5,123.0,395,0.7089552238805971,0.8796296296296297,0.5642458100558659,0.8547000751726911,0.837859507552245,139.0,0.23291139240506328,0.05039872344790341,190,78,26,101,0.5468354430379747,0.5329540797774005,0.25800932566361506,0.08860759493670886,0.23291139240506328,0.6784810126582278,,,,0.9630379746835444,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,1,456.0,395,0.7215686274509804,0.8401826484018264,0.5965909090909091,0.8068792803891496,0.7931454960564549,140.5,0.2759493670886076,0.054364879407166375,184,71,35,105,0.5544303797468354,0.5285458135550707,0.25585019630855016,0.07848101265822785,0.2759493670886076,0.6455696202531646,,,,0.9929113924050632,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,2,456.0,395,0.6666666666666666,0.8121827411167513,0.5959595959595959,0.7903008647438643,0.7968774034763882,168.0,0.2936708860759494,0.04614409201945574,160,80,37,118,0.49873417721518987,0.5067773561461099,0.25697697147262827,0.09873417721518987,0.2936708860759494,0.6075949367088608,,,,0.9630379746835444,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,3,456.0,395,0.7094339622641509,0.8952380952380953,0.5837837837837838,0.858389363955863,0.8402831402831403,145.5,0.24556962025316456,0.05460503366454257,188,77,22,108,0.5316455696202531,0.5307770509382262,0.25385340335940737,0.08354430379746836,0.24556962025316456,0.6708860759493671,,,,0.9736708860759493,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,4,456.0,395,0.6378600823045267,0.8288770053475936,0.5769230769230769,0.746076479385228,0.7792317976141505,166.5,0.29620253164556964,0.05129242715926204,155,88,32,120,0.47341772151898737,0.5078439800877392,0.25335928277977554,0.08860759493670886,0.29620253164556964,0.6151898734177215,,,,0.970632911392405,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,5,456.0,395,0.6777777777777778,0.8511627906976744,0.5166666666666667,0.8221172761835425,0.7949612403100775,144.0,0.2379746835443038,0.05013823099698034,183,87,32,93,0.5443037974683544,0.5277441215646329,0.24294608700280546,0.07848101265822785,0.2379746835443038,0.6835443037974683,,,,0.9610126582278481,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,1,789.0,395,0.7044534412955465,0.8365384615384616,0.6096256684491979,0.8305091138147273,0.8127056766762649,151.5,0.29620253164556964,0.040396760322591665,174,73,34,114,0.5265822784810127,0.5048382661236921,0.25170272377061026,0.07848101265822785,0.29620253164556964,0.6253164556962025,,,,0.9736708860759493,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,2,789.0,395,0.6465863453815262,0.8518518518518519,0.5728155339805825,0.7894501953060875,0.8128884779370218,147.5,0.2759493670886076,0.045483020793521976,161,88,28,118,0.47848101265822784,0.520547684559787,0.25980595718987726,0.09367088607594937,0.2759493670886076,0.6303797468354431,,,,0.9858227848101266,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
