dataset,model,scenario_name,fn_cost,fp_cost,cost_ratio_FN_to_FP,selected_threshold_validation,selection_split,selected_by,test_set_used_for_threshold_selection,calibration_type,validation_expected_cost,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,test_ece,test_tn,test_fp,test_fn,test_tp,test_expected_cost,test_cost_per_customer,delta_threshold_vs_FN5_FP1,delta_precision_vs_FN5_FP1,delta_recall_vs_FN5_FP1,delta_specificity_vs_FN5_FP1,delta_fp_vs_FN5_FP1,delta_cost_vs_FN5_FP1,operational_comment
heloc,Best LightGBM,FN2_FP1,2.0,1.0,2.0,0.305,validation,minimum validation expected cost,False,sigmoid,709.0,0.6960486322188449,0.6515259048970902,0.8938656280428432,0.4815205913410771,0.753694581280788,456,491,109,918,0.68,0.6369294605809128,0.8959143968871596,0.44561774023231254,0.7445432497978982,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,422,525,107,921,739.0,0.3741772151898734,0.11499999999999999,0.09044297409442636,-0.08754863813229563,0.33157338965153116,-314,-185.0,More conservative cost ratio; lower FP burden is prioritized.
heloc,Best LightGBM,FN3_FP1,3.0,1.0,3.0,0.25,validation,minimum validation expected cost,False,sigmoid,811.0,0.6621073961499493,0.6161290322580645,0.9298928919182083,0.3717001055966209,0.7411719053162592,352,595,72,955,0.6445569620253164,0.601875,0.9367704280155642,0.3273495248152059,0.7328767123287672,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,310,637,65,963,832.0,0.4212658227848101,0.06,0.05538851351351359,-0.046692607003890996,0.2133051742344245,-202,-92.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
heloc,Best LightGBM,FN5_FP1,5.0,1.0,5.0,0.19,validation,minimum validation expected cost,False,sigmoid,920.0,0.574468085106383,0.5511767925561029,0.9805258033106135,0.1341077085533263,0.7056762438682551,127,820,20,1007,0.5665822784810126,0.5464864864864865,0.9834630350194552,0.11404435058078141,0.7025712300208478,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,108,839,17,1011,924.0,0.46784810126582277,0.0,0.0,0.0,0.0,0,0.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
heloc,Best LightGBM,FN5_FP2,5.0,2.0,2.5,0.305,validation,minimum validation expected cost,False,sigmoid,1527.0,0.6960486322188449,0.6515259048970902,0.8938656280428432,0.4815205913410771,0.753694581280788,456,491,109,918,0.68,0.6369294605809128,0.8959143968871596,0.44561774023231254,0.7445432497978982,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,422,525,107,921,1585.0,0.8025316455696202,0.11499999999999999,0.09044297409442636,-0.08754863813229563,0.33157338965153116,-314,661.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best LightGBM,FN5_FP3,5.0,3.0,1.6666666666666667,0.395,validation,minimum validation expected cost,False,sigmoid,1982.0,0.7223910840932117,0.6936135812449474,0.8354430379746836,0.5997888067581837,0.7579505300353357,568,379,169,858,0.7169620253164557,0.6877502001601281,0.835603112840467,0.5881731784582893,0.7545015371102328,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,557,390,169,859,2015.0,1.0202531645569621,0.20500000000000002,0.14126371367364166,-0.14785992217898825,0.4741288278775079,-449,1091.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best LightGBM,FN10_FP1,10.0,1.0,10.0,0.165,validation,minimum validation expected cost,False,sigmoid,944.0,0.5263424518743668,0.523469387755102,0.9990262901655307,0.013727560718057022,0.6869768998995647,13,934,1,1026,0.5230379746835443,0.5218274111675127,1.0,0.005279831045406547,0.685790527018012,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,5,942,0,1028,942.0,0.4769620253164557,-0.024999999999999994,-0.02465907531897371,0.0165369649805448,-0.10876451953537486,103,18.0,Higher FN cost keeps an aggressive screening threshold and protects recall.
heloc,Best LightGBM,FN10_FP2,10.0,2.0,5.0,0.19,validation,minimum validation expected cost,False,sigmoid,1840.0,0.574468085106383,0.5511767925561029,0.9805258033106135,0.1341077085533263,0.7056762438682551,127,820,20,1007,0.5665822784810126,0.5464864864864865,0.9834630350194552,0.11404435058078141,0.7025712300208478,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,108,839,17,1011,1848.0,0.9356962025316455,0.0,0.0,0.0,0.0,0,924.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
heloc,Best LightGBM,FN10_FP3,10.0,3.0,3.3333333333333335,0.25,validation,minimum validation expected cost,False,sigmoid,2505.0,0.6621073961499493,0.6161290322580645,0.9298928919182083,0.3717001055966209,0.7411719053162592,352,595,72,955,0.6445569620253164,0.601875,0.9367704280155642,0.3273495248152059,0.7328767123287672,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,310,637,65,963,2561.0,1.2967088607594937,0.06,0.05538851351351359,-0.046692607003890996,0.2133051742344245,-202,1637.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best LightGBM,FN3_FP2,3.0,2.0,1.5,0.405,validation,minimum validation expected cost,False,sigmoid,1264.0,0.7254305977710233,0.7005789909015715,0.824732229795521,0.617740232312566,0.7576028622540251,585,362,180,847,0.72,0.6926196269261963,0.830739299610895,0.5997888067581837,0.7554179566563467,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,568,379,174,854,1280.0,0.6481012658227848,0.21500000000000002,0.14613314043970982,-0.1527237354085602,0.48574445617740225,-460,356.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best LightGBM,FN2_FP2,2.0,2.0,1.0,0.495,validation,minimum validation expected cost,False,sigmoid,1060.0,0.7315096251266464,0.737799043062201,0.750730282375852,0.7106652587117213,0.7442084942084941,673,274,256,771,0.7205063291139241,0.7191528545119705,0.7597276264591439,0.6779303062302007,0.738883632923368,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,642,305,247,781,1104.0,0.5589873417721519,0.305,0.17266636802548407,-0.22373540856031127,0.5638859556494192,-534,180.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
