dataset,model,scenario_name,fn_cost,fp_cost,cost_ratio_FN_to_FP,selected_threshold_validation,selection_split,selected_by,test_set_used_for_threshold_selection,calibration_type,validation_expected_cost,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,test_ece,test_tn,test_fp,test_fn,test_tp,test_expected_cost,test_cost_per_customer,delta_threshold_vs_FN5_FP1,delta_precision_vs_FN5_FP1,delta_recall_vs_FN5_FP1,delta_specificity_vs_FN5_FP1,delta_fp_vs_FN5_FP1,delta_cost_vs_FN5_FP1,operational_comment
taiwan,Best LightGBM,FN5_FP1,5.0,1.0,5.0,0.17,validation,minimum validation expected cost,False,isotonic,3205.0,0.6805,0.38653846153846155,0.7573474001507159,0.6586775090947999,0.5118411000763942,3078,1595,322,1005,0.6693333333333333,0.37542662116040953,0.746043707611153,0.647549753905414,0.4994954591321897,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,3026,1647,337,990,3332.0,0.5553333333333333,0.0,0.0,0.0,0.0,0,0.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
taiwan,Best LightGBM,FN5_FP2,5.0,2.0,2.5,0.3,validation,minimum validation expected cost,False,isotonic,4210.0,0.8056666666666666,0.564867042707494,0.5282592313489073,0.8844425422640702,0.5459501557632398,4133,540,626,701,0.7943333333333333,0.5364134690681285,0.5162019593067069,0.8733147870746844,0.5261136712749616,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,4081,592,642,685,4394.0,0.7323333333333333,0.12999999999999998,0.16098684790771894,-0.22984174830444615,0.22576503316927032,-1055,1062.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best LightGBM,FN5_FP3,5.0,3.0,1.6666666666666667,0.325,validation,minimum validation expected cost,False,isotonic,4702.0,0.8123333333333334,0.5890168290522586,0.5011303692539563,0.9007061844639418,0.5415309446254071,4209,464,662,665,0.8006666666666666,0.5555555555555556,0.493594574227581,0.8878664669377274,0.5227454110135674,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,4149,524,672,655,4932.0,0.822,0.155,0.18012893439514605,-0.252449133383572,0.2403167130323134,-1123,1600.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best LightGBM,FN10_FP1,10.0,1.0,10.0,0.125,validation,minimum validation expected cost,False,isotonic,4177.0,0.5453333333333333,0.3123493169032949,0.8786737000753579,0.45067408517012625,0.46086956521739136,2106,2567,161,1166,0.5433333333333333,0.31033557046979865,0.8711379050489827,0.45024609458591913,0.4576405384006335,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,2104,2569,171,1156,4279.0,0.7131666666666666,-0.04500000000000001,-0.06509105069061089,0.12509419743782968,-0.1973036593194949,922,947.0,Higher FN cost keeps an aggressive screening threshold and protects recall.
taiwan,Best LightGBM,FN10_FP2,10.0,2.0,5.0,0.17,validation,minimum validation expected cost,False,isotonic,6410.0,0.6805,0.38653846153846155,0.7573474001507159,0.6586775090947999,0.5118411000763942,3078,1595,322,1005,0.6693333333333333,0.37542662116040953,0.746043707611153,0.647549753905414,0.4994954591321897,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,3026,1647,337,990,6664.0,1.1106666666666667,0.0,0.0,0.0,0.0,0,3332.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
taiwan,Best LightGBM,FN10_FP3,10.0,3.0,3.3333333333333335,0.215,validation,minimum validation expected cost,False,isotonic,7668.0,0.7501666666666666,0.4552083333333333,0.6586284853051997,0.7761609244596619,0.5383430859254698,3627,1046,453,874,0.738,0.438037430450177,0.6525998492840994,0.7622512304729296,0.5242130750605326,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,3562,1111,461,866,7943.0,1.3238333333333334,0.044999999999999984,0.06261080928976748,-0.0934438583270536,0.11470147656751561,-536,4611.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best LightGBM,FN3_FP2,3.0,2.0,1.5,0.325,validation,minimum validation expected cost,False,isotonic,2914.0,0.8123333333333334,0.5890168290522586,0.5011303692539563,0.9007061844639418,0.5415309446254071,4209,464,662,665,0.8006666666666666,0.5555555555555556,0.493594574227581,0.8878664669377274,0.5227454110135674,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,4149,524,672,655,3064.0,0.5106666666666667,0.155,0.18012893439514605,-0.252449133383572,0.2403167130323134,-1123,-268.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best LightGBM,FN2_FP2,2.0,2.0,1.0,0.39,validation,minimum validation expected cost,False,isotonic,2176.0,0.8186666666666667,0.6344206974128234,0.4250188394875659,0.9304515300663385,0.5090252707581226,4348,325,763,564,0.8123333333333334,0.6100766703176341,0.41974378296910325,0.9238176760111277,0.4973214285714285,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,4317,356,770,557,2252.0,0.37533333333333335,0.22,0.2346500491572246,-0.32629992464204977,0.2762679221057137,-1291,-1080.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best Scorecard,FN2_FP1,2.0,1.0,2.0,0.4,validation,minimum validation expected cost,False,isotonic,1824.0,0.8206666666666667,0.6383682469680264,0.43632253202712884,0.9298095441900278,0.5183527305282005,4345,328,748,579,0.8118333333333333,0.6044303797468354,0.43180105501130367,0.9197517654611599,0.5037362637362637,0.772310218670291,0.5428529752936853,0.13698023547429067,0.013838796992413097,4298,375,754,573,1883.0,0.31383333333333335,0.23500000000000001,0.22130563206819193,-0.2833458929917107,0.24673657179542052,-1153,-1535.0,More conservative cost ratio; lower FP burden is prioritized.
taiwan,Best Scorecard,FN3_FP1,3.0,1.0,3.0,0.305,validation,minimum validation expected cost,False,isotonic,2466.0,0.8003333333333333,0.5513126491646778,0.5222305953278071,0.8793066552535844,0.5363777089783283,4109,564,634,693,0.7935,0.5347003154574133,0.5109269027882442,0.8737427776588915,0.5225433526011561,0.772310218670291,0.5428529752936853,0.13698023547429067,0.013838796992413097,4083,590,649,678,2537.0,0.42283333333333334,0.13999999999999999,0.15157556777876974,-0.20422004521477022,0.20072758399315216,-938,-881.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
