dataset,split,system,policy_type,score_key,threshold,t_low,t_high,capacity_pct,source,cost_definition,base_fn_cost,base_fp_cost,review_friction_cost,mean_fn_cost,median_fn_cost,auto_fn_instance_cost,auto_fp_cost,review_friction_total,total_instance_dependent_cost,cost_rank,delta_vs_v2,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,high_exposure_cutoff_multiplier,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,test_set_used_for_selection,comment,v2_instance_dependent_cost
taiwan,validation,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,taiwan_limit_weighted,5.0,1.0,0.0,7.535162401889405,7.038677977490341,6806.705022677641,210.0,0.0,7016.705022677641,6.0,3263.7930035276327,852,210,0,0.0,2.3803544431379136,217,173,21,False,Proxy-based sensitivity only; not observed bank loss.,3752.9120191500083
taiwan,validation,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,taiwan_bill_weighted,5.0,1.0,0.0,8.358928013464654,8.288327526132404,6539.494773519164,210.0,0.0,6749.494773519164,5.0,3192.2700348432054,852,210,0,0.0,2.346798780487805,301,162,59,False,Proxy-based sensitivity only; not observed bank loss.,3557.224738675958
taiwan,validation,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,taiwan_utilization_weighted,5.0,1.0,0.0,9.305185495779373,9.935902878003226,7124.636641480601,210.0,0.0,7334.636641480601,5.0,3967.1502674250783,852,210,0,0.0,2.363379743611512,451,229,102,False,Proxy-based sensitivity only; not observed bank loss.,3367.4863740555224
taiwan,validation,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,taiwan_capped_hybrid,5.0,1.0,0.0,4.678818083070811,4.575517073053671,3947.2399592393613,210.0,0.0,4157.239959239361,6.0,1431.9126076741677,852,210,0,0.0,1.1326635462838694,237,144,38,False,Proxy-based sensitivity only; not observed bank loss.,2725.3273515651936
taiwan,locked_test,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,taiwan_limit_weighted,5.0,1.0,0.0,7.758168291819941,7.138503572929803,7123.883984867592,222.0,0.0,7345.883984867592,5.0,3550.6582597730144,858,222,0,0.0,2.362547288776797,265,205,15,False,Proxy-based sensitivity only; not observed bank loss.,3795.2257250945772
taiwan,locked_test,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,taiwan_bill_weighted,5.0,1.0,0.0,8.229495775169841,8.11035624074558,6338.403231425835,222.0,0.0,6560.403231425835,5.0,2919.5400226461115,858,222,0,0.0,2.3468556745928053,312,156,63,False,Proxy-based sensitivity only; not observed bank loss.,3640.863208779723
taiwan,locked_test,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,taiwan_utilization_weighted,5.0,1.0,0.0,9.12661987136002,9.969447509123313,6915.24314690656,222.0,0.0,7137.24314690656,5.0,3608.735211745735,858,222,0,0.0,2.3635958584401258,433,218,121,False,Proxy-based sensitivity only; not observed bank loss.,3528.5079351608247
taiwan,locked_test,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,taiwan_capped_hybrid,5.0,1.0,0.0,4.697532813397957,4.590204189541513,3979.457443258685,222.0,0.0,4201.457443258685,5.0,1432.9396564838248,858,222,0,0.0,1.1375029395021086,242,137,42,False,Proxy-based sensitivity only; not observed bank loss.,2768.5177867748603
taiwan,validation,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,taiwan_limit_weighted,5.0,1.0,0.0,7.535162401889405,7.038677977490341,7119.955484629599,219.0,0.0,7338.955484629599,8.0,3586.0434654795904,881,219,0,0.0,2.3803544431379136,217,186,16,False,Proxy-based sensitivity only; not observed bank loss.,3752.9120191500083
taiwan,validation,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,taiwan_bill_weighted,5.0,1.0,0.0,8.358928013464654,8.288327526132404,6865.86781358885,219.0,0.0,7084.86781358885,8.0,3527.643074912892,881,219,0,0.0,2.346798780487805,301,175,60,False,Proxy-based sensitivity only; not observed bank loss.,3557.224738675958
taiwan,validation,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,taiwan_utilization_weighted,5.0,1.0,0.0,9.305185495779373,9.935902878003226,7400.595126920791,219.0,0.0,7619.595126920791,8.0,4252.108752865268,881,219,0,0.0,2.363379743611512,451,230,108,False,Proxy-based sensitivity only; not observed bank loss.,3367.4863740555224
taiwan,validation,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,taiwan_capped_hybrid,5.0,1.0,0.0,4.678818083070811,4.575517073053671,4118.664659643689,219.0,0.0,4337.664659643689,8.0,1612.3373080784959,881,219,0,0.0,1.1326635462838694,237,158,38,False,Proxy-based sensitivity only; not observed bank loss.,2725.3273515651936
taiwan,locked_test,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,taiwan_limit_weighted,5.0,1.0,0.0,7.758168291819941,7.138503572929803,7168.697982345524,234.0,0.0,7402.697982345524,8.0,3607.4722572509468,857,234,0,0.0,2.362547288776797,265,209,14,False,Proxy-based sensitivity only; not observed bank loss.,3795.2257250945772
taiwan,locked_test,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,taiwan_bill_weighted,5.0,1.0,0.0,8.229495775169841,8.11035624074558,6449.780506924484,234.0,0.0,6683.780506924484,8.0,3042.917298144761,857,234,0,0.0,2.3468556745928053,312,168,67,False,Proxy-based sensitivity only; not observed bank loss.,3640.863208779723
taiwan,locked_test,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,taiwan_utilization_weighted,5.0,1.0,0.0,9.12661987136002,9.969447509123313,6950.9348213527965,234.0,0.0,7184.9348213527965,7.0,3656.426886191972,857,234,0,0.0,2.3635958584401258,433,212,136,False,Proxy-based sensitivity only; not observed bank loss.,3528.5079351608247
taiwan,locked_test,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,taiwan_capped_hybrid,5.0,1.0,0.0,4.697532813397957,4.590204189541513,4009.1956978540015,234.0,0.0,4243.195697854002,8.0,1474.6779110791417,857,234,0,0.0,1.1375029395021086,242,150,39,False,Proxy-based sensitivity only; not observed bank loss.,2768.5177867748603
taiwan,validation,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,taiwan_limit_weighted,5.0,1.0,0.0,7.535162401889405,7.038677977490341,6874.896060809675,214.0,0.0,7088.896060809675,7.0,3335.9840416596667,860,214,0,0.0,2.3803544431379136,217,175,22,False,Proxy-based sensitivity only; not observed bank loss.,3752.9120191500083
taiwan,validation,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,taiwan_bill_weighted,5.0,1.0,0.0,8.358928013464654,8.288327526132404,6620.49324912892,214.0,0.0,6834.49324912892,7.0,3277.268510452962,860,214,0,0.0,2.346798780487805,301,167,64,False,Proxy-based sensitivity only; not observed bank loss.,3557.224738675958
taiwan,validation,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,taiwan_utilization_weighted,5.0,1.0,0.0,9.305185495779373,9.935902878003226,7203.379955853638,214.0,0.0,7417.379955853638,7.0,4049.893581798116,860,214,0,0.0,2.363379743611512,451,233,101,False,Proxy-based sensitivity only; not observed bank loss.,3367.4863740555224
taiwan,validation,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,taiwan_capped_hybrid,5.0,1.0,0.0,4.678818083070811,4.575517073053671,3989.077861987719,214.0,0.0,4203.077861987719,7.0,1477.7505104225256,860,214,0,0.0,1.1326635462838694,237,148,42,False,Proxy-based sensitivity only; not observed bank loss.,2725.3273515651936
taiwan,locked_test,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,taiwan_limit_weighted,5.0,1.0,0.0,7.758168291819941,7.138503572929803,7128.312316099201,226.0,0.0,7354.312316099201,6.0,3559.0865910046236,860,226,0,0.0,2.362547288776797,265,203,16,False,Proxy-based sensitivity only; not observed bank loss.,3795.2257250945772
taiwan,locked_test,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,taiwan_bill_weighted,5.0,1.0,0.0,8.229495775169841,8.11035624074558,6382.943558923439,226.0,0.0,6608.943558923439,7.0,2968.080350143716,860,226,0,0.0,2.3468556745928053,312,161,63,False,Proxy-based sensitivity only; not observed bank loss.,3640.863208779723
taiwan,locked_test,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,taiwan_utilization_weighted,5.0,1.0,0.0,9.12661987136002,9.969447509123313,6961.789230246966,226.0,0.0,7187.789230246966,8.0,3659.2812950861417,860,226,0,0.0,2.3635958584401258,433,221,121,False,Proxy-based sensitivity only; not observed bank loss.,3528.5079351608247
taiwan,locked_test,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,taiwan_capped_hybrid,5.0,1.0,0.0,4.697532813397957,4.590204189541513,3992.251175004528,226.0,0.0,4218.251175004528,7.0,1449.7333882296675,860,226,0,0.0,1.1375029395021086,242,140,41,False,Proxy-based sensitivity only; not observed bank loss.,2768.5177867748603
