dataset,model,case_type,row_id,predicted_probability,threshold,rank,feature_rule,raw_feature,lime_weight,abs_lime_weight,lime_sign,explanation_png,explanation_html
taiwan,lightgbm,borderline_manual_review,5360,0.17004350043491576,0.17,1,recent_delay <= 0.00,recent_delay,-0.0637409227494137,0.0637409227494137,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.html
taiwan,lightgbm,borderline_manual_review,5360,0.17004350043491576,0.17,2,delay_count <= 0.00,delay_count,-0.06000270963278817,0.06000270963278817,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.html
taiwan,lightgbm,borderline_manual_review,5360,0.17004350043491576,0.17,3,bill_trend <= -2984.25,bill_trend,0.055103189823114504,0.055103189823114504,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.html
taiwan,lightgbm,borderline_manual_review,5360,0.17004350043491576,0.17,4,-1.00 < PAY_0 <= 0.00,-1.00,-0.0472526454452133,0.0472526454452133,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.html
taiwan,lightgbm,borderline_manual_review,5360,0.17004350043491576,0.17,5,utilization_proxy > 0.68,utilization_proxy,0.041440103234603363,0.041440103234603363,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.html
taiwan,lightgbm,borderline_manual_review,5360,0.17004350043491576,0.17,6,total_pay_amt <= 6658.00,total_pay_amt,0.03000949496067899,0.03000949496067899,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.html
taiwan,lightgbm,borderline_manual_review,5360,0.17004350043491576,0.17,7,max_delay <= 0.00,max_delay,-0.02971981332621019,0.02971981332621019,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.html
taiwan,lightgbm,borderline_manual_review,5360,0.17004350043491576,0.17,8,279.00 < PAY_AMT4 <= 1500.00,279.00,-0.02253108345286952,0.02253108345286952,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.html
taiwan,lightgbm,borderline_manual_review,5360,0.17004350043491576,0.17,9,bill_volatility <= 1409.46,bill_volatility,0.02243902414410995,0.02243902414410995,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.html
taiwan,lightgbm,borderline_manual_review,5360,0.17004350043491576,0.17,10,390.00 < PAY_AMT3 <= 1800.00,390.00,-0.022095476422455112,0.022095476422455112,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\borderline_manual_review_row_5360.html
