dataset,study_name,trial_number,state,objective,primary_metric_pr_auc,cv_n_splits,cv_n_repeats,cv_total_folds,metric_pr_auc,metric_roc_auc,metric_recall,metric_brier_score,metric_fn_weighted_cost,metric_fn,metric_fp,metric_tp,metric_tn,metric_pr_auc_std,param_model_type,param_lgbm_n_estimators,param_lgbm_learning_rate,param_lgbm_num_leaves,param_lgbm_max_depth,param_lgbm_min_child_samples,param_lgbm_subsample,param_lgbm_colsample_bytree,param_lgbm_reg_alpha,param_lgbm_reg_lambda,param_lgbm_class_weight
taiwan,taiwan_pr_auc_optuna,24,COMPLETE,mean_cv_pr_auc,0.5617057789948009,5,3,15,0.5617057789948009,0.7829862806974394,0.6255651952779372,0.1724940933517976,2038.7333333333333,298.2,547.7333333333333,498.2,2255.866666666667,0.011844490778521377,lightgbm,450,0.018507242581937578,78,6,67,0.6500917393066497,0.697018590597043,0.6345287989189186,0.011462343628622156,balanced
taiwan,taiwan_pr_auc_optuna,25,COMPLETE,mean_cv_pr_auc,0.5644261304757268,5,3,15,0.5644261304757268,0.78612235763778,0.6299183075561832,0.1753405314131923,2033.3333333333333,294.73333333333335,559.6666666666666,501.6666666666667,2243.9333333333334,0.011897821677591838,lightgbm,550,0.01038365354618601,67,5,47,0.9467518070570439,0.7714643859897203,0.0020943549674713657,0.0029072636429042717,balanced
taiwan,taiwan_pr_auc_optuna,26,COMPLETE,mean_cv_pr_auc,0.5632782744133065,5,3,15,0.5632782744133065,0.7865478849834489,0.6454025669964208,0.17895412714631,2000.8666666666666,282.4,588.8666666666667,514.0,2214.733333333333,0.014479990684859301,lightgbm,550,0.010186403802938017,66,3,46,0.9502283332383994,0.8660667400942353,0.0006694124351525697,0.0030580294973460037,balanced
taiwan,taiwan_pr_auc_optuna,27,COMPLETE,mean_cv_pr_auc,0.5640461512925837,5,3,15,0.5640461512925837,0.7861322022961935,0.6383730656629025,0.17613803136055223,2016.7333333333333,288.0,576.7333333333333,508.4,2226.866666666667,0.011680309462482965,lightgbm,600,0.01352266965171803,72,4,28,0.9769614673056255,0.8152172448512801,0.0006699680571760576,0.05113401711701574,balanced
taiwan,taiwan_pr_auc_optuna,28,COMPLETE,mean_cv_pr_auc,0.5605249464371292,5,3,15,0.5605249464371292,0.7814909839934805,0.6119200141233142,0.17011474095734236,2066.0666666666666,309.06666666666666,520.7333333333333,487.3333333333333,2282.866666666667,0.012314631509422093,lightgbm,600,0.01196261194923346,68,6,11,0.8835693857564363,0.7818163532897378,1.5041130212151493e-05,0.006622549365229585,balanced
taiwan,taiwan_pr_auc_optuna,29,COMPLETE,mean_cv_pr_auc,0.5529091292485412,5,3,15,0.5529091292485412,0.7755029739230802,0.5941737125611327,0.16437454951534056,2109.4666666666667,323.2,493.46666666666664,473.2,2310.133333333333,0.013158867695796708,lightgbm,400,0.0333884854185913,57,7,27,0.8451320427610943,0.7193100243367699,0.3461436902386308,0.015581458983335258,balanced
taiwan,taiwan_pr_auc_optuna,30,COMPLETE,mean_cv_pr_auc,0.5651391320989577,5,3,15,0.5651391320989577,0.7864025614547739,0.6321782479944684,0.17609401032024868,2021.2,292.93333333333334,556.5333333333333,503.46666666666664,2247.0666666666666,0.01132830695190424,lightgbm,300,0.014713338038417604,58,5,41,0.8996948550841783,0.6824732145558329,0.00016523700796598382,0.002637323284495996,balanced
taiwan,taiwan_pr_auc_optuna,31,COMPLETE,mean_cv_pr_auc,0.5652534191463463,5,3,15,0.5652534191463463,0.7864179804761996,0.6319269917130614,0.17669894409462175,2022.0666666666666,293.1333333333333,556.4,503.26666666666665,2247.2,0.011425661926266832,lightgbm,250,0.014860940814075567,57,5,42,0.9429245627495639,0.6740270204502739,0.0001356723708193216,0.0022813056257843635,balanced
taiwan,taiwan_pr_auc_optuna,32,COMPLETE,mean_cv_pr_auc,0.5648728700230166,5,3,15,0.5648728700230166,0.7859814237092202,0.6322612644989901,0.17428700392088298,2021.9333333333334,292.8666666666667,557.6,503.53333333333336,2246.0,0.01144261175900037,lightgbm,300,0.02400224889009899,56,5,38,0.8950189601676037,0.6798072480432664,7.696028355814202e-07,0.0024105189957132245,balanced
taiwan,taiwan_pr_auc_optuna,33,COMPLETE,mean_cv_pr_auc,0.562061795120314,5,3,15,0.562061795120314,0.783735167315654,0.622384402144558,0.17199134879446484,2043.6,300.73333333333335,539.9333333333333,495.6666666666667,2263.6666666666665,0.011980431596049142,lightgbm,300,0.0230576373129557,45,6,35,0.897811390221367,0.6797068281900466,7.739761697605822e-07,0.00203988405475516,balanced
taiwan,taiwan_pr_auc_optuna,34,COMPLETE,mean_cv_pr_auc,0.5635967848852069,5,3,15,0.5635967848852069,0.7864853879098017,0.37150253568133434,0.13319438058382504,2644.2,500.53333333333336,141.53333333333333,295.8666666666667,2662.0666666666666,0.0109542697713318,lightgbm,300,0.02386646018775821,43,5,38,0.8668075251423903,0.6512849661573861,1.0023249336404849e-08,0.0020835706330876507,
taiwan,taiwan_pr_auc_optuna,35,COMPLETE,mean_cv_pr_auc,0.5541663124859115,5,3,15,0.5541663124859115,0.7762793465654396,0.5955122748834091,0.16490209355286373,2107.0,322.1333333333333,496.3333333333333,474.26666666666665,2307.266666666667,0.014163571141636317,lightgbm,250,0.04780563171733527,52,7,20,0.895052278961786,0.686091799389421,2.5362700607077365e-07,0.004870748046254791,balanced
taiwan,taiwan_pr_auc_optuna,36,COMPLETE,mean_cv_pr_auc,0.5605763087200022,5,3,15,0.5605763087200022,0.7837315336674023,0.3661441881090942,0.1337911638125345,2663.6666666666665,504.8,139.66666666666666,291.6,2663.9333333333334,0.011733019756426846,lightgbm,250,0.014296417551393655,58,8,34,0.8265468859738819,0.7200483325152752,0.0001269797435231652,0.019443885190826862,
taiwan,taiwan_pr_auc_optuna,37,COMPLETE,mean_cv_pr_auc,0.5643933185932857,5,3,15,0.5643933185932857,0.786247333845282,0.6347728815554141,0.175943712256107,2021.8,290.8666666666667,567.4666666666667,505.53333333333336,2236.133333333333,0.011512147451712331,lightgbm,200,0.030235894154611975,35,5,27,0.9256821161593981,0.6626178669029826,5.817211129912374e-06,6.9456634617294295,balanced
taiwan,taiwan_pr_auc_optuna,38,COMPLETE,mean_cv_pr_auc,0.5637116360708819,5,3,15,0.5637116360708819,0.7852319195227975,0.6251462246405596,0.1749036027453454,2035.5333333333333,298.53333333333336,542.8666666666667,497.8666666666667,2260.733333333333,0.01101621866319979,lightgbm,300,0.011837609250696752,54,6,41,0.9801828302449452,0.6785894744531772,9.08343079365044e-08,0.23430131249427702,balanced
taiwan,taiwan_pr_auc_optuna,39,COMPLETE,mean_cv_pr_auc,0.5562387954189922,5,3,15,0.5562387954189922,0.7823708317163618,0.370079485675975,0.13432157135911318,2654.9333333333334,501.6666666666667,146.6,294.73333333333335,2657.0,0.01157948226437224,lightgbm,250,0.11781924471580811,47,3,70,0.8021472775874509,0.7000694272036246,7.875249815949637e-05,0.03863294423923758,
taiwan,taiwan_pr_auc_optuna,40,COMPLETE,mean_cv_pr_auc,0.5554512425391441,5,3,15,0.5554512425391441,0.7783079821285525,0.616691676702206,0.1696929457980986,2072.3333333333335,305.26666666666665,546.0,491.1333333333333,2257.6,0.011783364208928287,lightgbm,150,0.06812071578974864,39,8,60,0.8457733038168427,0.6626872945419972,2.3402823714802985e-05,0.0010028934026368832,balanced
taiwan,taiwan_pr_auc_optuna,41,COMPLETE,mean_cv_pr_auc,0.5649634691206474,5,3,15,0.5649634691206474,0.7863899913770374,0.6296668411064102,0.17660893825160498,2030.2,294.93333333333334,555.5333333333333,501.46666666666664,2248.0666666666666,0.010792541237059432,lightgbm,350,0.010889986305833578,60,5,46,0.938142085284821,0.7235572927188806,0.00028156602236946817,0.0022343958094325376,balanced
taiwan,taiwan_pr_auc_optuna,42,COMPLETE,mean_cv_pr_auc,0.5648896481383671,5,3,15,0.5648896481383671,0.7858267999412994,0.6306710255585749,0.17623608277732936,2027.0,294.1333333333333,556.3333333333334,502.26666666666665,2247.266666666667,0.011763677345739458,lightgbm,350,0.011959293449380166,61,5,32,0.9311937201386498,0.7288158853299033,3.424071608747221e-06,0.0020226331878419068,balanced
taiwan,taiwan_pr_auc_optuna,43,COMPLETE,mean_cv_pr_auc,0.563761118678972,5,3,15,0.563761118678972,0.7843303953134251,0.6279924297354611,0.17530897300436799,2038.6666666666667,296.26666666666665,557.3333333333334,500.1333333333333,2246.266666666667,0.010681256933662557,lightgbm,350,0.014272425905355495,59,5,17,0.883371173827546,0.9989807552485137,7.358157163212661e-06,0.002536603034531596,balanced
taiwan,taiwan_pr_auc_optuna,44,COMPLETE,mean_cv_pr_auc,0.5650415525527765,5,3,15,0.5650415525527765,0.7862045841597189,0.6385399393454096,0.17660992099062012,2017.8,287.8666666666667,578.4666666666667,508.53333333333336,2225.133333333333,0.011503294408533584,lightgbm,300,0.024078173601237103,52,4,30,0.9030880825092487,0.7277962107654603,1.6379475014880886e-06,0.012676966105701955,balanced
taiwan,taiwan_pr_auc_optuna,45,COMPLETE,mean_cv_pr_auc,0.5643675932695619,5,3,15,0.5643675932695619,0.7860099612660972,0.637618561229401,0.1781751068963387,2015.0,288.6,572.0,507.8,2231.6,0.011107503631483785,lightgbm,350,0.011705544055897622,51,4,32,0.932999090006558,0.729706154078575,5.335653359036964e-05,0.01384714080340355,balanced
taiwan,taiwan_pr_auc_optuna,46,COMPLETE,mean_cv_pr_auc,0.5644604092401451,5,3,15,0.5644604092401451,0.7869808774664425,0.3698291751522145,0.13288101035425787,2645.6666666666665,501.8666666666667,136.33333333333334,294.53333333333336,2667.266666666667,0.011982525863990528,lightgbm,350,0.01680810006324207,61,4,25,0.9139793603252738,0.6979762478777507,0.0001910674284167275,0.07748213211659734,
taiwan,taiwan_pr_auc_optuna,47,COMPLETE,mean_cv_pr_auc,0.5637108350164759,5,3,15,0.5637108350164759,0.7857575552562499,0.6305869582122239,0.17902718079892063,2031.2666666666667,294.2,560.2666666666667,502.2,2243.3333333333335,0.011398363969750847,lightgbm,200,0.012751867071230572,70,5,78,0.9635551125653254,0.7535813779291568,1.3812135694377856e-06,0.004213382201742648,balanced
taiwan,taiwan_pr_auc_optuna,48,COMPLETE,mean_cv_pr_auc,0.5576751234936698,5,3,15,0.5576751234936698,0.7792054085668603,0.6079882894186532,0.1673373983214405,2078.2,312.2,517.2,484.2,2286.4,0.0103822362744779,lightgbm,300,0.018642893853080496,63,10,31,0.9062631452190869,0.9560675039529085,0.00036676678222016644,0.02638637123285636,balanced
taiwan,taiwan_pr_auc_optuna,49,COMPLETE,mean_cv_pr_auc,0.5584695537489008,5,3,15,0.5584695537489008,0.7794553699779493,0.6081518004073063,0.16879582739871202,2080.8,312.06666666666666,520.4666666666667,484.3333333333333,2283.133333333333,0.013346088968353233,lightgbm,250,0.03864115008265536,55,6,15,0.8608768436286027,0.7109420177143932,1.2478095375546924e-05,0.0018216456435809695,balanced
taiwan,taiwan_pr_auc_optuna,50,COMPLETE,mean_cv_pr_auc,0.5641862402144001,5,3,15,0.5641862402144001,0.7865146277763553,0.3669823395522152,0.13298650171075385,2654.4666666666667,504.1333333333333,133.8,292.26666666666665,2669.8,0.011610764254009209,lightgbm,300,0.015365866707492879,16,4,43,0.9236650681558424,0.727786930662822,3.0269578235810248e-06,0.8384995186948865,
taiwan,taiwan_pr_auc_optuna,51,COMPLETE,mean_cv_pr_auc,0.5645430544975883,5,3,15,0.5645430544975883,0.7856217024812909,0.6316743693372762,0.17461514570980707,2029.3333333333333,293.3333333333333,562.6666666666666,503.06666666666666,2240.9333333333334,0.01228957831457728,lightgbm,300,0.024423536872265762,55,5,51,0.8905735075681824,0.6863668685586889,2.9794234120962483e-07,0.0049520926398339505,balanced
taiwan,taiwan_pr_auc_optuna,52,COMPLETE,mean_cv_pr_auc,0.5654768154299178,5,3,15,0.5654768154299178,0.7861970641270363,0.6330994159421114,0.17540484711008988,2021.5333333333333,292.2,560.5333333333333,504.2,2243.0666666666666,0.011444586064539342,lightgbm,250,0.021461132600487907,50,5,37,0.7463140250204032,0.669541684921548,4.559878294979776e-08,0.0016778420723022865,balanced
taiwan,taiwan_pr_auc_optuna,53,COMPLETE,mean_cv_pr_auc,0.5654690175714311,5,3,15,0.5654690175714311,0.785748744650823,0.6294148492357228,0.17584202632764093,2032.2,295.1333333333333,556.5333333333333,501.26666666666665,2247.0666666666666,0.011350020732214776,lightgbm,250,0.017666005208435368,49,5,22,0.7565189167496793,0.6626732880494535,4.901857451766383e-08,0.0017065960085326105,balanced
taiwan,taiwan_pr_auc_optuna,54,COMPLETE,mean_cv_pr_auc,0.5626631162718353,5,3,15,0.5626631162718353,0.7842230144757416,0.6216310536370686,0.1733064530598743,2048.5333333333333,301.3333333333333,541.8666666666667,495.06666666666666,2261.733333333333,0.011849078231559609,lightgbm,250,0.022070763139034673,41,6,38,0.7344795965027557,0.6621923436314091,3.607791832099063e-08,0.0014566545570599725,balanced
taiwan,taiwan_pr_auc_optuna,55,COMPLETE,mean_cv_pr_auc,0.5643136087185194,5,3,15,0.5643136087185194,0.7856579643880444,0.6310893656908549,0.17520625321898134,2027.6,293.8,558.6,502.6,2245.0,0.01145345063764217,lightgbm,200,0.026786899814265065,49,5,23,0.7568813808147072,0.6501316541732103,4.356578209937902e-08,0.006600350328653031,balanced
taiwan,taiwan_pr_auc_optuna,56,COMPLETE,mean_cv_pr_auc,0.5628208203096777,5,3,15,0.5628208203096777,0.7853884444818342,0.6344369274225582,0.18067843979070838,2026.7333333333333,291.1333333333333,571.0666666666667,505.26666666666665,2232.5333333333333,0.010970369482583925,lightgbm,150,0.016884601358742073,37,4,112,0.6918798284577233,0.665147372367616,8.711855396123499e-08,0.0014769738995355957,balanced
taiwan,taiwan_pr_auc_optuna,57,COMPLETE,mean_cv_pr_auc,0.5648844696832476,5,3,15,0.5648844696832476,0.786705010119894,0.6387901447849873,0.1777810361067987,2015.0666666666666,287.6666666666667,576.7333333333333,508.73333333333335,2226.866666666667,0.012096792412186431,lightgbm,250,0.019691988596039142,45,4,55,0.7390160118248603,0.6916213072668715,1.8457185577882078e-08,0.0036577756637479883,balanced
taiwan,taiwan_pr_auc_optuna,58,COMPLETE,mean_cv_pr_auc,0.5653827364640134,5,3,15,0.5653827364640134,0.785319205686917,0.6288294252525698,0.17423218838814652,2031.8666666666666,295.6,553.8666666666667,500.8,2249.733333333333,0.011559214620680896,lightgbm,200,0.03122845390150263,29,5,15,0.7775434064068635,0.7072241667025735,2.2929071191845016e-07,0.009956327280485682,balanced
taiwan,taiwan_pr_auc_optuna,59,COMPLETE,mean_cv_pr_auc,0.565734133079664,5,3,15,0.565734133079664,0.786149953431389,0.6382884728956368,0.17673497873861843,2017.0,288.06666666666666,576.6666666666666,508.3333333333333,2226.9333333333334,0.011302255885419017,lightgbm,200,0.03146931078273177,30,4,15,0.7872822848845493,0.7093611183665505,2.4748820300966607e-07,0.011061360168932595,balanced
taiwan,taiwan_pr_auc_optuna,60,COMPLETE,mean_cv_pr_auc,0.5629158303732998,5,3,15,0.5629158303732998,0.783055566720048,0.6223002297140238,0.1713063345645662,2044.9333333333334,300.8,540.9333333333333,495.6,2262.6666666666665,0.01209256800976722,lightgbm,200,0.03959363482870587,29,6,10,0.7816214473016668,0.6720366606314417,2.6431480274561236e-07,0.008936333148101015,balanced
taiwan,taiwan_pr_auc_optuna,61,COMPLETE,mean_cv_pr_auc,0.5657517456297152,5,3,15,0.5657517456297152,0.7863653290753061,0.6381213890447637,0.17695435229560272,2016.4,288.2,575.4,508.2,2228.2,0.01177190266820424,lightgbm,200,0.02967646017990593,28,4,16,0.7743347567270594,0.7070722768626946,1.6485378897040258e-07,0.019934457851250004,balanced
taiwan,taiwan_pr_auc_optuna,62,COMPLETE,mean_cv_pr_auc,0.5662727585950021,5,3,15,0.5662727585950021,0.7860696499286913,0.6379534645204273,0.17753001548355,2016.2,288.3333333333333,574.5333333333333,508.06666666666666,2229.0666666666666,0.011510163848670329,lightgbm,150,0.032607836335787156,26,4,15,0.7753865316340337,0.707832632835955,1.3749683528620887e-07,0.021605837768792175,balanced
taiwan,taiwan_pr_auc_optuna,63,COMPLETE,mean_cv_pr_auc,0.5650378972879689,5,3,15,0.5650378972879689,0.7861683579111923,0.6416360346273401,0.1793632503332363,2015.0,285.4,588.0,511.0,2215.6,0.013683862193249813,lightgbm,150,0.03029431586153069,28,3,16,0.7775122848060161,0.706070373601153,1.6606302531721673e-07,0.022841021304906294,balanced
taiwan,taiwan_pr_auc_optuna,64,COMPLETE,mean_cv_pr_auc,0.5658131006507098,5,3,15,0.5658131006507098,0.7863763942633759,0.636781565712292,0.17660276796838245,2023.0,289.26666666666665,576.6666666666666,507.1333333333333,2226.9333333333334,0.011093525276171462,lightgbm,200,0.03239418539108833,25,4,14,0.8112879413352763,0.7503450536778504,5.789008467800498e-08,0.08339360765458892,balanced
taiwan,taiwan_pr_auc_optuna,65,COMPLETE,mean_cv_pr_auc,0.5640013339663078,5,3,15,0.5640013339663078,0.7863044137233411,0.6434779501858939,0.1791185401002136,2008.6666666666667,283.93333333333334,589.0,512.4666666666667,2214.6,0.013984191224486927,lightgbm,150,0.03386900173816496,23,3,14,0.8057052724735732,0.7540061139895418,6.907123199009496e-08,0.14981994680597827,balanced
