t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.2,0.4,684.0,300,338,942,0.189873417721519,0.2139240506329114,0.5962025316455696,48,275,252,667,107,231,0.7080679405520169,0.8114355231143552,0.9416058394160584,0.7860759493670886,True,True,True
0.15,0.2,687.5,177,123,1280,0.1120253164556962,0.07784810126582278,0.810126582278481,24,506,153,774,24,99,0.6046875,0.9416058394160584,0.9708029197080292,0.9221518987341772,True,True,True
0.1,0.15,688.5,50,127,1403,0.03164556962025317,0.08037974683544304,0.8879746835443038,4,605,46,798,20,107,0.5687811831789024,0.9708029197080292,0.9951338199513382,0.919620253164557,True,True,True
0.2,0.6,688.5,300,603,677,0.189873417721519,0.38164556962025314,0.42848101265822786,48,147,252,530,244,359,0.7828655834564254,0.6447688564476886,0.9416058394160584,0.6183544303797468,True,True,True
0.2,0.35,690.0,300,278,1002,0.189873417721519,0.1759493670886076,0.6341772151898735,48,311,252,691,83,195,0.689620758483034,0.8406326034063261,0.9416058394160584,0.8240506329113924,True,True,True
0.05,0.15,693.5,0,177,1403,0.0,0.1120253164556962,0.8879746835443038,0,605,0,798,24,153,0.5687811831789024,0.9708029197080292,1.0,0.8879746835443038,True,True,True
0.2,0.3,694.5,300,195,1085,0.189873417721519,0.12341772151898735,0.6867088607594937,48,357,252,728,46,149,0.6709677419354839,0.8856447688564477,0.9416058394160584,0.8765822784810127,True,True,True
0.2,0.65,699.0,300,678,602,0.189873417721519,0.4291139240506329,0.3810126582278481,48,120,252,482,292,386,0.8006644518272426,0.5863746958637469,0.9416058394160584,0.5708860759493671,True,True,True
0.2,0.25,714.0,300,102,1178,0.189873417721519,0.06455696202531645,0.7455696202531645,48,423,252,755,19,83,0.6409168081494058,0.9184914841849149,0.9416058394160584,0.9354430379746835,True,True,True
0.25,0.55,725.0,402,426,752,0.25443037974683547,0.26962025316455696,0.4759493670886076,67,177,335,575,180,246,0.7646276595744681,0.6995133819951338,0.9184914841849149,0.730379746835443,True,True,True
0.25,0.45,726.0,402,294,884,0.25443037974683547,0.1860759493670886,0.5594936708860759,67,244,335,640,115,179,0.7239819004524887,0.7785888077858881,0.9184914841849149,0.8139240506329114,True,True,True
0.25,0.5,726.0,402,358,820,0.25443037974683547,0.22658227848101264,0.5189873417721519,67,212,335,608,147,211,0.7414634146341463,0.7396593673965937,0.9184914841849149,0.7734177215189874,True,True,True
