dataset,study_name,trial_number,state,objective,primary_metric_pr_auc,cv_n_splits,cv_n_repeats,cv_total_folds,metric_pr_auc,metric_roc_auc,metric_recall,metric_brier_score,metric_fn_weighted_cost,metric_fn,metric_fp,metric_tp,metric_tn,metric_pr_auc_std,param_model_type,param_lgbm_n_estimators,param_lgbm_learning_rate,param_lgbm_num_leaves,param_lgbm_max_depth,param_lgbm_min_child_samples,param_lgbm_subsample,param_lgbm_colsample_bytree,param_lgbm_reg_alpha,param_lgbm_reg_lambda,param_lgbm_class_weight,param_cat_iterations,param_cat_depth,param_cat_learning_rate,param_cat_l2_leaf_reg,param_cat_random_strength,param_cat_bagging_temperature,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_learning_rate,param_xgb_subsample,param_xgb_colsample_bytree,param_xgb_min_child_weight,param_xgb_reg_alpha,param_xgb_reg_lambda
taiwan,taiwan_pr_auc_optuna,20,COMPLETE,mean_cv_pr_auc,0.5669120367482549,5,3,15,0.5669120367482549,0.787561505839371,0.36288100897629083,0.13276593120256772,2670.8,507.4,133.8,289.0,2669.8,0.011360345191942553,catboost,,,,,,,,,,,350.0,5.0,0.013954519461485737,15.901819435487127,0.26311640277484943,0.6144789378192101,,,,,,,,
taiwan,taiwan_pr_auc_optuna,21,COMPLETE,mean_cv_pr_auc,0.5667440077087931,5,3,15,0.5667440077087931,0.7875070908473922,0.3635508155583438,0.13276346843155362,2667.5333333333333,506.8666666666667,133.2,289.53333333333336,2670.4,0.01083409378200552,catboost,,,,,,,,,,,350.0,5.0,0.013141446775009363,16.856976362299054,0.25236359909150996,0.5987654566220451,,,,,,,,
taiwan,taiwan_pr_auc_optuna,22,COMPLETE,mean_cv_pr_auc,0.5643844296854824,5,3,15,0.5643844296854824,0.7858237936247806,0.3577746532747384,0.13327583581593835,2685.4,511.46666666666664,128.06666666666666,284.93333333333334,2675.5333333333333,0.011321607753698415,catboost,,,,,,,,,,,350.0,4.0,0.010077460079923597,5.244587367677746,0.3709509550471382,0.6224987880269803,,,,,,,,
taiwan,taiwan_pr_auc_optuna,23,COMPLETE,mean_cv_pr_auc,0.5678368238732312,5,3,15,0.5678368238732312,0.7883444519305915,0.3681560247914605,0.132573571882541,2653.4,503.2,137.4,293.2,2666.2,0.011332582669572279,catboost,,,,,,,,,,,350.0,6.0,0.015563381754915707,11.879667330096488,0.17320267518792132,1.0480918745168777,,,,,,,,
taiwan,taiwan_pr_auc_optuna,24,COMPLETE,mean_cv_pr_auc,0.567130814868289,5,3,15,0.567130814868289,0.7879882800683425,0.3684066505677698,0.132644961030741,2650.266666666667,503.0,135.26666666666668,293.4,2668.3333333333335,0.010332398114197061,catboost,,,,,,,,,,,300.0,6.0,0.016533507875200897,10.09131254902565,0.11323118338926982,1.2054624156595315,,,,,,,,
taiwan,taiwan_pr_auc_optuna,25,COMPLETE,mean_cv_pr_auc,0.567670039894883,5,3,15,0.567670039894883,0.7883183254770944,0.3701642886116068,0.13258684586824207,2646.6,501.6,138.6,294.8,2665.0,0.011086180904175192,catboost,,,,,,,,,,,400.0,6.0,0.015495739031133389,11.110224699888969,0.11393570427333609,1.4554751073424212,,,,,,,,
taiwan,taiwan_pr_auc_optuna,26,COMPLETE,mean_cv_pr_auc,0.545767414615066,5,3,15,0.545767414615066,0.7749214715088878,0.37426509376661643,0.1368496032892777,2649.866666666667,498.3333333333333,158.2,298.06666666666666,2645.4,0.012873602249288438,catboost,,,,,,,,,,,400.0,7.0,0.10839048570560782,9.950342951750317,0.10080106849010248,1.6296544810117704,,,,,,,,
taiwan,taiwan_pr_auc_optuna,27,COMPLETE,mean_cv_pr_auc,0.558966798551777,5,3,15,0.558966798551777,0.7849796552050556,0.356852749737815,0.13340272787403784,2689.6,512.2,128.6,284.2,2675.0,0.01402802943709362,xgboost,,,,,,,,,,,,,,,,,150.0,2.0,0.045458853993279945,0.8431827017510575,0.841606017223762,10.0,0.0015496307897725538,0.1484683439566813
taiwan,taiwan_pr_auc_optuna,28,COMPLETE,mean_cv_pr_auc,0.5401245833246645,5,3,15,0.5401245833246645,0.771950033994942,0.6261497785876264,0.17418396780746265,2081.133333333333,297.73333333333335,592.4666666666667,498.6666666666667,2211.133333333333,0.013175275723391605,lightgbm,650.0,0.1316491871585899,90.0,3.0,114.0,0.6505435287389187,0.6548641453626559,2.012637085191788,0.06362826698493129,balanced,,,,,,,,,,,,,,
taiwan,taiwan_pr_auc_optuna,29,COMPLETE,mean_cv_pr_auc,0.5674020095005861,5,3,15,0.5674020095005861,0.7878061218127489,0.3679040329207728,0.13267015433278145,2652.8,503.4,135.8,293.0,2667.8,0.010625314416874924,catboost,,,,,,,,,,,450.0,6.0,0.01095210490937195,13.325014975695774,0.1725830258504644,1.5078370164671107,,,,,,,,
taiwan,taiwan_pr_auc_optuna,30,COMPLETE,mean_cv_pr_auc,0.5544201751974072,5,3,15,0.5544201751974072,0.7796132531527565,0.6256493677084712,0.1730427339603508,2062.4666666666667,298.1333333333333,571.8,498.26666666666665,2231.8,0.011646857902273112,lightgbm,150.0,0.11151501559561372,56.0,5.0,85.0,0.989127149305687,0.7769817241775877,0.03638936957929871,0.05034202968464944,balanced,,,,,,,,,,,,,,
taiwan,taiwan_pr_auc_optuna,31,COMPLETE,mean_cv_pr_auc,0.567569615764107,5,3,15,0.567569615764107,0.7878834770904736,0.36556055055705117,0.13264998270916145,2661.6666666666665,505.26666666666665,135.33333333333334,291.1333333333333,2668.266666666667,0.010684274702495692,catboost,,,,,,,,,,,450.0,6.0,0.01026796422978827,11.997683592387588,0.18060964094955484,1.4454594946655763,,,,,,,,
taiwan,taiwan_pr_auc_optuna,32,COMPLETE,mean_cv_pr_auc,0.5678010885018722,5,3,15,0.5678010885018722,0.7881640187500467,0.36982959548894623,0.13261890908642246,2648.0,501.8666666666667,138.66666666666666,294.53333333333336,2664.9333333333334,0.010697937887897063,catboost,,,,,,,,,,,400.0,6.0,0.0142651292725659,11.390055482831428,0.19110164679728808,1.0770550216297392,,,,,,,,
taiwan,taiwan_pr_auc_optuna,33,COMPLETE,mean_cv_pr_auc,0.5674026420859482,5,3,15,0.5674026420859482,0.7884963800299968,0.37016428861160666,0.13255711501658934,2646.9333333333334,501.6,138.93333333333334,294.8,2664.6666666666665,0.011027472181312763,catboost,,,,,,,,,,,450.0,7.0,0.014617722888023309,19.17589406821881,0.181613759772541,1.119888532382483,,,,,,,,
