fn_cost,fp_cost,threshold,expected_cost,precision,recall,f1,fp,fn
10.0,1.0,0.2,1108.0,0.599024984765387,0.9562256809338522,0.7366054702135632,658,45
10.0,1.0,0.25,1358.0,0.6255767963085036,0.9231517509727627,0.7457760314341847,568,79
10.0,1.0,0.3,1479.0,0.6508047585724283,0.9046692607003891,0.757020757020757,499,98
10.0,1.0,0.35,1699.0,0.6774436090225564,0.8764591439688716,0.7642069550466497,429,127
10.0,1.0,0.4,2002.0,0.6992724333063864,0.8414396887159533,0.7637969094922737,372,163
10.0,1.0,0.45,2412.0,0.7118055555555556,0.7976653696498055,0.7522935779816514,332,208
10.0,1.0,0.5,2733.0,0.7345215759849906,0.7616731517509727,0.7478510028653295,283,245
10.0,1.0,0.55,3090.0,0.7558494404883012,0.7227626459143969,0.7389358528095475,240,285
10.0,1.0,0.6,3569.0,0.7764044943820225,0.6721789883268483,0.7205422314911366,199,337
10.0,1.0,0.65,4190.0,0.8062015503875969,0.6070038910505836,0.6925638179800222,150,404
10.0,1.0,0.7,5049.0,0.8304821150855366,0.519455252918288,0.6391382405745063,109,494
10.0,1.0,0.75,5923.0,0.8585271317829457,0.43093385214007784,0.5738341968911918,73,585
10.0,1.0,0.8,7009.0,0.8713910761154856,0.3229571984435798,0.47125621007806956,49,696
10.0,1.0,0.85,8083.0,0.9061224489795918,0.21595330739299612,0.3487824037706206,23,806
10.0,1.0,0.9,9358.0,0.9207920792079208,0.09046692607003891,0.16474756421612047,8,935
10.0,1.0,0.95,10220.0,1.0,0.005836575875486381,0.01160541586073501,0,1022
