t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.4,0.65,1061.5,636,347,597,0.40253164556962023,0.21962025316455697,0.3778481012658228,154,118,482,479,189,158,0.8023450586264657,0.5827250608272506,0.8126520681265207,0.7803797468354431,True,True,True
0.4,0.7,1074.0,636,442,502,0.40253164556962023,0.27974683544303797,0.31772151898734174,154,83,482,419,249,193,0.8346613545816733,0.5097323600973236,0.8126520681265207,0.720253164556962,True,True,True
0.4,0.75,1100.0,636,544,400,0.40253164556962023,0.34430379746835443,0.25316455696202533,154,58,482,342,326,218,0.855,0.41605839416058393,0.8126520681265207,0.6556962025316456,True,True,True
0.45,0.5,1127.5,696,69,815,0.44050632911392407,0.043670886075949364,0.5158227848101266,177,208,519,607,38,31,0.7447852760736197,0.7384428223844283,0.7846715328467153,0.9563291139240506,True,True,True
0.45,0.55,1129.0,696,140,744,0.44050632911392407,0.08860759493670886,0.4708860759493671,177,174,519,570,75,65,0.7661290322580645,0.6934306569343066,0.7846715328467153,0.9113924050632911,True,True,True
0.4,0.8,1132.0,636,652,292,0.40253164556962023,0.41265822784810124,0.1848101265822785,154,36,482,256,412,240,0.8767123287671232,0.31143552311435524,0.8126520681265207,0.5873417721518988,True,True,True
0.45,0.6,1138.5,696,201,683,0.44050632911392407,0.12721518987341773,0.43227848101265826,177,153,519,530,115,86,0.7759882869692533,0.6447688564476886,0.7846715328467153,0.8727848101265823,True,True,True
0.45,0.65,1146.5,696,287,597,0.44050632911392407,0.18164556962025316,0.3778481012658228,177,118,519,479,166,121,0.8023450586264657,0.5827250608272506,0.7846715328467153,0.8183544303797469,True,True,True
0.45,0.7,1159.0,696,382,502,0.44050632911392407,0.2417721518987342,0.31772151898734174,177,83,519,419,226,156,0.8346613545816733,0.5097323600973236,0.7846715328467153,0.7582278481012659,True,True,True
0.45,0.75,1185.0,696,484,400,0.44050632911392407,0.30632911392405066,0.25316455696202533,177,58,519,342,303,181,0.855,0.41605839416058393,0.7846715328467153,0.6936708860759494,True,True,True
0.45,0.8,1217.0,696,592,292,0.44050632911392407,0.37468354430379747,0.1848101265822785,177,36,519,256,389,203,0.8767123287671232,0.31143552311435524,0.7846715328467153,0.6253164556962025,True,True,True
0.45,0.85,1252.5,696,689,195,0.44050632911392407,0.4360759493670886,0.12341772151898735,177,23,519,172,473,216,0.882051282051282,0.20924574209245742,0.7846715328467153,0.5639240506329114,True,True,True
