dataset,system,row_type,feature_group,feature,fp_mean,tp_mean,tn_mean,fn_mean,smd_fp_vs_tp,smd_fp_vs_tn,smd_fp_vs_fn,abs_smd_fp_vs_tp,abs_smd_fp_vs_tn,abs_smd_fp_vs_fn,fp_closer_to_feature,fp_group_size,tp_group_size,tn_group_size,fn_group_size
taiwan,Best Scorecard policy,feature,demographics,SEX,1.5717299578059072,1.574938574938575,1.614765100671141,1.580896686159844,-0.006483720928159191,-0.08766213676594785,-0.018537669150761073,0.006483720928159191,0.08766213676594785,0.018537669150761073,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,demographics,EDUCATION,1.919831223628692,1.9127764127764129,1.8008053691275168,1.8771929824561404,0.010145486112039085,0.16221283503200246,0.05853574399353567,0.010145486112039085,0.16221283503200246,0.05853574399353567,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,demographics,MARRIAGE,1.578059071729958,1.5,1.5608053691275168,1.5146198830409356,0.1486541997246953,0.032727477360580216,0.11987653124453682,0.1486541997246953,0.032727477360580216,0.11987653124453682,TN-like possible false alarm,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,group_summary,payment_delay,__group_mean_abs_smd__,,,,,,,,0.4532250571291685,1.1016327445521672,1.121505707845108,TP-like risky profile,,,,
taiwan,Best Scorecard policy,group_summary,debt_payment,__group_mean_abs_smd__,,,,,,,,0.08817627234211071,0.3506888496244576,0.28150178101197015,TP-like risky profile,,,,
taiwan,Best Scorecard policy,group_summary,demographics,__group_mean_abs_smd__,,,,,,,,0.053183393588230016,0.07737537900570965,0.07098599695588328,TP-like risky profile,,,,
taiwan,Best manual-review high-risk bucket,feature,payment_delay,PAY_0,0.6916565900846433,1.3168927250308262,-0.4100364014560582,-0.436046511627907,-0.4855784813429632,1.0897436123431017,1.1129478141765579,0.4855784813429632,1.0897436123431017,1.1129478141765579,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best manual-review high-risk bucket,feature,payment_delay,PAY_2,0.4776299879081015,1.0345252774352651,-0.4607384295371814,-0.4980620155038759,-0.34644062670171166,0.7360170672236134,0.7627630938628458,0.34644062670171166,0.7360170672236134,0.7627630938628458,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best manual-review high-risk bucket,feature,payment_delay,PAY_3,0.3893591293833132,0.8668310727496917,-0.4547581903276131,-0.4961240310077519,-0.2933374053291642,0.6583746841520223,0.6801850283190893,0.2933374053291642,0.6583746841520223,0.6801850283190893,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best manual-review high-risk bucket,feature,payment_delay,PAY_4,0.2224909310761789,0.7324290998766955,-0.4703588143525741,-0.5368217054263565,-0.30205781670443177,0.5492424648482364,0.597662355110341,0.30205781670443177,0.5492424648482364,0.597662355110341,TP-like risky profile,827.0,811.0,3846.0,516.0
taiwan,Best manual-review high-risk bucket,feature,payment_delay,PAY_5,0.0181378476420798,0.6732429099876696,-0.4638585543421737,-0.5329457364341085,-0.3967851162990358,0.39737198359274817,0.4523442732241102,0.3967851162990358,0.39737198359274817,0.4523442732241102,Mixed / borderline profile,827.0,811.0,3846.0,516.0
