system,error_group,feature,mean,median,std,min,max,q25,q75,missing_count,group_size
Best manual-review high-risk bucket,TP,utilization_proxy,0.4980768343700802,0.5530116392881277,0.36971407005216256,-0.1351678067672705,2.093890493035504,0.06509109078103575,0.8311521769453201,0,811
Best manual-review high-risk bucket,TP,payment_to_bill_ratio,6.350731002265209,0.0450544519041504,132.4171210787324,0.0,3500.0,0.03335615913015775,0.0857202584426924,0,811
Best manual-review high-risk bucket,TP,total_bill_amt,280376.08877928485,134555.0,402842.04805198533,-259523.0,2742479.0,19649.0,355255.5,0,811
Best manual-review high-risk bucket,TP,total_pay_amt,14134.231812577065,7970.0,20809.642115693234,0.0,222974.0,3500.0,16000.0,0,811
Best manual-review high-risk bucket,TP,AGE,35.847102342786684,35.0,9.938144540197568,21.0,73.0,27.0,42.0,0,811
Best manual-review high-risk bucket,TP,SEX,1.5782983970406905,2.0,0.4941360483774376,1.0,2.0,1.0,2.0,0,811
Best manual-review high-risk bucket,TP,EDUCATION,1.9038224414303329,2.0,0.6871826095037639,1.0,4.0,1.0,2.0,0,811
Best manual-review high-risk bucket,TP,MARRIAGE,1.5067817509247843,1.0,0.5148566867236851,1.0,3.0,1.0,2.0,0,811
Best manual-review high-risk bucket,FP,PAY_0,0.6916565900846433,1.0,1.2264105534474352,-2.0,6.0,0.0,1.0,0,827
Best manual-review high-risk bucket,FP,PAY_2,0.47762998790810157,0.0,1.6454266190897362,-2.0,5.0,-1.0,2.0,0,827
Best manual-review high-risk bucket,FP,PAY_3,0.3893591293833132,0.0,1.6218194280093239,-2.0,8.0,-1.0,2.0,0,827
Best manual-review high-risk bucket,FP,PAY_4,0.22249093107617895,0.0,1.5986759309067338,-2.0,8.0,-1.0,2.0,0,827
Best manual-review high-risk bucket,FP,PAY_5,0.018137847642079808,0.0,1.5241112729254107,-2.0,7.0,-1.0,0.0,0,827
Best manual-review high-risk bucket,FP,PAY_6,-0.026602176541717048,0.0,1.5275574959026044,-2.0,7.0,-1.0,0.0,0,827
Best manual-review high-risk bucket,FP,delay_count,2.2623941958887546,2.0,1.7508422253802607,0.0,6.0,1.0,3.0,0,827
Best manual-review high-risk bucket,FP,severe_delay_count,1.8657799274486093,1.0,1.7529296031615726,0.0,6.0,0.0,3.0,0,827
Best manual-review high-risk bucket,FP,max_delay,1.8101571946795647,2.0,1.0055503832841353,0.0,8.0,1.0,2.0,0,827
Best manual-review high-risk bucket,FP,avg_delay,0.7486900443369608,0.5,0.7353332045419603,0.0,5.333333333333333,0.1666666666666666,1.0,0,827
Best manual-review high-risk bucket,FP,recent_delay,0.6662636033857315,1.0,0.47183218501554114,0.0,1.0,0.0,1.0,0,827
Best manual-review high-risk bucket,FP,LIMIT_BAL,112200.72551390568,70000.0,104462.15691376422,10000.0,710000.0,30000.0,160000.0,0,827
Best manual-review high-risk bucket,FP,utilization_proxy,0.45007534739889055,0.4552837059691169,0.4013403613765577,-0.084920817458492,2.1173738653156007,0.00693473551844765,0.8257018306324786,0,827
Best manual-review high-risk bucket,FP,payment_to_bill_ratio,18.969690054198267,0.0541288283737268,247.4496436582403,0.0,4012.0,0.03352371418973775,0.2116463442447611,0,827
Best manual-review high-risk bucket,FP,total_bill_amt,205322.76662636033,98905.0,321785.13877460035,-50953.0,2191420.0,4460.5,243967.5,0,827
Best manual-review high-risk bucket,FP,total_pay_amt,13620.819830713423,6600.0,26631.45998949551,0.0,394695.0,2641.5,13295.5,0,827
