dataset,model,evaluation_split,calibration_type,threshold_probability,tp,fp,tn,fn,net_benefit,net_benefit_treat_all,net_benefit_treat_none,standardized_net_benefit,is_better_than_treat_all,is_better_than_treat_none,rank_at_threshold
taiwan,Best XGBoost,test,isotonic,0.47,497,270,4403,830,0.04292767295597484,-0.46949685534591185,0.0,0.19409648661329995,True,True,5
taiwan,Best XGBoost,test,isotonic,0.48,494,263,4410,833,0.04187179487179487,-0.4977564102564101,0.0,0.1893223581241667,True,True,5
taiwan,Best XGBoost,test,isotonic,0.49,488,255,4418,839,0.040499999999999994,-0.5271241830065359,0.0,0.18311981914091932,True,True,5
taiwan,Best XGBoost,test,isotonic,0.5,479,239,4434,848,0.04000000000000001,-0.5576666666666665,0.0,0.18085908063300682,True,True,5
taiwan,Best XGBoost,test,isotonic,0.51,465,224,4449,862,0.03864285714285714,-0.5894557823129252,0.0,0.17472279039724403,True,True,4
taiwan,Best XGBoost,test,isotonic,0.52,453,218,4455,874,0.03613888888888888,-0.6225694444444445,0.0,0.16340115548857068,True,True,5
taiwan,Best XGBoost,test,isotonic,0.53,443,204,4469,884,0.03549290780141843,-0.6570921985815603,0.0,0.16048036684891526,True,True,3
taiwan,Best XGBoost,test,isotonic,0.54,439,201,4472,888,0.033840579710144925,-0.6931159420289854,0.0,0.15300940336161983,True,True,3
taiwan,Best XGBoost,test,isotonic,0.55,426,189,4484,901,0.03249999999999998,-0.7307407407407409,0.0,0.1469480030143179,True,True,4
taiwan,Best XGBoost,test,isotonic,0.56,418,180,4493,909,0.031484848484848484,-0.7700757575757577,0.0,0.14235801877098034,True,True,3
taiwan,Best XGBoost,test,isotonic,0.57,405,173,4500,922,0.029279069767441872,-0.811240310077519,0.0,0.13238464099823,True,True,3
taiwan,Best XGBoost,test,isotonic,0.58,386,159,4514,941,0.02773809523809525,-0.854365079365079,0.0,0.12541716008181725,True,True,3
taiwan,Best XGBoost,test,isotonic,0.59,378,152,4521,949,0.026544715447154477,-0.899593495934959,0.0,0.1200213207859283,True,True,3
taiwan,Best XGBoost,test,isotonic,0.6,348,126,4547,979,0.026500000000000003,-0.947083333333333,0.0,0.119819140919367,True,True,2
taiwan,Best XGBoost,test,isotonic,0.61,343,125,4548,984,0.024581196581196584,-0.9970085470085468,0.0,0.11114331536336058,True,True,2
taiwan,Best XGBoost,test,isotonic,0.62,334,122,4551,993,0.022491228070175444,-1.0495614035087717,0.0,0.10169357077698014,True,True,3
taiwan,Best XGBoost,test,isotonic,0.63,322,117,4556,1005,0.020463963963963966,-1.1049549549549547,0.0,0.09252734271573759,True,True,4
taiwan,Best XGBoost,test,isotonic,0.64,311,110,4563,1016,0.01924074074074074,-1.1634259259259259,0.0,0.0869965670267102,True,True,4
taiwan,Best XGBoost,test,isotonic,0.65,297,103,4570,1030,0.017619047619047618,-1.2252380952380952,0.0,0.07966411885025297,True,True,4
taiwan,Best XGBoost,test,isotonic,0.66,287,93,4580,1040,0.01774509803921568,-1.2906862745098038,0.0,0.08023405292787798,True,True,3
taiwan,Best XGBoost,test,isotonic,0.67,279,90,4583,1048,0.01604545454545454,-1.3601010101010103,0.0,0.07254915393574018,True,True,3
taiwan,Best XGBoost,test,isotonic,0.68,260,84,4589,1067,0.01358333333333333,-1.4338541666666669,0.0,0.06141672946495853,True,True,4
taiwan,Best XGBoost,test,isotonic,0.69,239,75,4598,1088,0.012010752688172047,-1.5123655913978487,0.0,0.05430634222233027,True,True,4
