dataset,split,model,capacity_pct,review_count,defaults_captured,total_defaults,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,nondefaults_reviewed,false_alarm_count,cost_saved_vs_random_review,cost_saved_vs_no_review,review_cost,net_value,average_risk_score_reviewed,average_risk_score_not_reviewed,candidate_note,test_set_used_for_selection
heloc,validation,SCRE-Pareto probability ranking,0.3,593,503.0,1027,0.48977604673807207,0.8482293423271501,0.48977604673807207,1.6303843444535486,90.0,90.0,972.418946301925,2218.5,296.5,2218.5,0.8192461562110134,0.4003143336446001,weights renormalized over available components,False
heloc,validation,SCRE-Pareto probability ranking,0.4,790,643.0,1027,0.626095423563778,0.8139240506329114,0.626095423563778,1.5644460330568328,147.0,147.0,1159.9594731509626,2820.0,395.0,2820.0,0.7852297774807856,0.35330704492103293,weights renormalized over available components,False
heloc,validation,Best EBM/monotonic model: EBM,0.05,99,87.0,1027,0.08471275559883155,0.8787878787878788,0.08471275559883155,1.6891210055767019,12.0,12.0,177.4696048632219,385.5,49.5,385.5,0.8991226209716452,0.4884502917180182,,False
heloc,validation,Best EBM/monotonic model: EBM,0.1,198,174.0,1027,0.1694255111976631,0.8787878787878788,0.1694255111976631,1.6891210055767019,24.0,24.0,354.9392097264438,771.0,99.0,771.0,0.896766279429922,0.46582078441461283,,False
heloc,validation,Best EBM/monotonic model: EBM,0.15,297,264.0,1027,0.25705939629990265,0.8888888888888888,0.25705939629990265,1.7085361895488478,33.0,33.0,547.4088145896657,1171.5,148.5,1171.5,0.8946618850055135,0.44075304508100144,,False
heloc,validation,Best EBM/monotonic model: EBM,0.2,395,347.0,1027,0.33787731256085685,0.8784810126582279,0.33787731256085685,1.6885311772028646,48.0,48.0,707.4797365754813,1537.5,197.5,1537.5,0.882772163835112,0.4155556882410434,,False
heloc,validation,Best EBM/monotonic model: EBM,0.25,494,419.0,1027,0.4079844206426485,0.8481781376518218,0.4079844206426485,1.630285923782567,75.0,75.0,809.9493414387032,1848.0,247.0,1848.0,0.8632444869450939,0.3908207161463518,,False
heloc,validation,Best EBM/monotonic model: EBM,0.3,593,494.0,1027,0.4810126582278481,0.8330522765598651,0.4810126582278481,1.601212457574658,99.0,99.0,927.418946301925,2173.5,296.5,2173.5,0.8448490789605457,0.36485295628086406,,False
heloc,validation,Best EBM/monotonic model: EBM,0.4,790,628.0,1027,0.611489776046738,0.7949367088607595,0.611489776046738,1.527950402425647,162.0,162.0,1084.9594731509626,2745.0,395.0,2745.0,0.8002921651993081,0.3147184340709658,,False
heloc,heldout_test_diagnostic,Random review baseline,0.05,99,51.530126582278484,1028,0.05012658227848102,0.5205063291139241,0.05012658227848102,1.0000000000000002,47.469873417721516,47.469873417721516,0.0,208.15063291139245,49.5,208.15063291139245,,,expected random review capture,False
heloc,heldout_test_diagnostic,Oracle upper bound,0.05,99,99.0,1028,0.0963035019455253,1.0,0.0963035019455253,1.921206225680934,0.0,0.0,237.34936708860758,445.5,49.5,445.5,,,theoretical maximum if defaults were known,False
heloc,heldout_test_diagnostic,Random review baseline,0.1,198,103.06025316455697,1028,0.10025316455696204,0.5205063291139241,0.10025316455696204,1.0000000000000002,94.93974683544303,94.93974683544303,0.0,416.3012658227849,99.0,416.3012658227849,,,expected random review capture,False
heloc,heldout_test_diagnostic,Oracle upper bound,0.1,198,198.0,1028,0.1926070038910506,1.0,0.1926070038910506,1.921206225680934,0.0,0.0,474.69873417721516,891.0,99.0,891.0,,,theoretical maximum if defaults were known,False
