dataset,dataset_role,literature_group,model_family,config_name,config_display_name,resampling_strategy,native_catboost_categorical,status,failure_stage,error_message,fit_seconds_train_validation,test_set_used_for_selection,resampling_inside_train_fold,split_before_resampling,cv_n_splits,cv_n_repeats,cv_total_folds,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_recall_std,cv_precision_mean,cv_precision_std,cv_expected_cost_0_50_mean,cv_expected_cost_0_50_std,cv_fit_time_mean,cv_score_time_mean,validation_pr_auc,validation_roc_auc,validation_brier,validation_ece,validation_precision_at_recall_0_60,validation_best_f1,validation_best_specificity_at_cost_policy,validation_expected_cost_cost_policy,validation_recall_cost_policy,validation_precision_cost_policy,validation_threshold_cost_policy,threshold_policy,policy_feasible
taiwan,primary,D_CatBoost_class_strategy,CatBoost,catboost_sqrtbalanced,CatBoost SqrtBalanced,none,True,success,,,131.93525249999948,False,True,True,5.0,3.0,15.0,0.5656444103510477,0.01092111956264407,0.7883506562296543,0.006608678367828579,0.5442564142101389,0.010577344019765357,0.5132277867799894,0.013726145885152842,0.5795094952770573,0.011649904843780702,2235.0666666666666,53.55553711387419,8.202950557072958,0.04089023272196452,0.5596290874268537,0.7856660567182668,0.1425184129395304,0.088236457751933,0.49504950495049505,0.5466816647919011,0.5512518724588059,3187.0,0.8357196684250189,0.34591391141609484,0.22,,
heloc,external_validation,A_GBDT_resampling,GBDT,gbdt_no_resampling,GBDT + no resampling,none,False,success,,,12.268731700023636,False,True,True,5.0,3.0,15.0,0.7857110170613161,0.019384159198137317,0.791278065809506,0.016599314170547885,0.7404842175714982,0.012832147005474184,0.751705290927333,0.01668936132686118,0.7298468279951329,0.015614566935478885,936.6666666666666,52.860403159853234,0.7247296174367269,0.042020956675211586,0.790716338242003,0.7916569415640432,0.1869034565179705,0.036516426889364566,0.7850821744627055,0.7570289550986152,0.16578669482576558,915.0,0.9756572541382668,0.5591517857142857,0.115,,
heloc,external_validation,A_GBDT_resampling,GBDT,gbdt_random_over_sampler,GBDT + RandomOverSampler,RandomOverSampler,False,success,,,12.456428999896161,False,True,True,5.0,3.0,15.0,0.7857191949539345,0.021278964638705156,0.7920970028604407,0.016993018218460172,0.7414167572415441,0.011485714809747343,0.7459684831645935,0.014308493854524944,0.7371799689777089,0.015905747514390896,946.8,44.84521527803533,0.731178077061971,0.0418878714243571,0.7877800051025166,0.7934223690041529,0.18606091036910535,0.03670158272921847,0.7900128040973111,0.7601847963040739,0.24181626187961985,893.0,0.9659201557935735,0.5801169590643275,0.13,,
heloc,external_validation,A_GBDT_resampling,GBDT,gbdt_smote,GBDT + SMOTE,SMOTE,False,success,,,13.764761499944143,False,True,True,5.0,3.0,15.0,0.7847250091088677,0.018986219497229347,0.7911713989749833,0.01656595033328653,0.7389428719403371,0.01575681981291133,0.7419662590246058,0.019523105385728916,0.7361911207121633,0.017319914362802457,959.0,63.874877690685246,0.8140848477681478,0.04069113731384277,0.7886478488585877,0.7923191053796698,0.18647443121341997,0.049525846188422665,0.7849872773536896,0.7596439169139466,0.3484688489968321,922.0,0.9406037000973709,0.6102337334175616,0.18,,
heloc,external_validation,A_GBDT_resampling,GBDT,gbdt_borderline_smote,GBDT + BorderlineSMOTE,BorderlineSMOTE,False,success,,,13.871721900068223,False,True,True,5.0,3.0,15.0,0.784196060161375,0.01838452745804081,0.7901512043631856,0.016811907049297733,0.7369795587592891,0.01598543668322204,0.7351550934208958,0.019389601991927158,0.7391110962728837,0.01872198548549124,976.1333333333333,63.60803583056329,0.8247264544169108,0.041023508707682295,0.7903384002685264,0.7920497157528155,0.18700163601261494,0.0334788489448087,0.7918781725888325,0.7566899958830795,0.2587117212249208,922.0,0.9571567672833495,0.5833827893175074,0.15,,
heloc,external_validation,A_GBDT_resampling,GBDT,gbdt_smote_tomek,GBDT + SMOTE-Tomek,SMOTE-Tomek,False,success,,,14.14822880004067,False,True,True,5.0,3.0,15.0,0.7874380179086845,0.019397020276240434,0.7925730135201928,0.018983140568593165,0.7394284737929218,0.013740990380526006,0.7418620682397019,0.016449580479397503,0.7372601247242349,0.017079377090105263,958.4666666666667,53.73250619710775,0.8399258931477864,0.04162192344665527,0.7887510266924872,0.7931426973304723,0.18915023299678227,0.06470745762645082,0.7787286063569682,0.7584727584727585,0.27455121436114044,892.0,0.9600778967867576,0.5893604303646145,0.115,,
heloc,external_validation,A_GBDT_resampling,GBDT,gbdt_adasyn,GBDT + ADASYN,ADASYN,False,failed,cv,No samples will be generated with the provided ratio settings.,0.037616999936290085,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
heloc,external_validation,A_GBDT_resampling,GBDT,gbdt_kmeans_smote,GBDT + KMeansSMOTE,KMeansSMOTE,False,success,,,16.12383600010071,False,True,True,5.0,3.0,15.0,0.7838118487353923,0.020106450923626413,0.7914346291797827,0.01616291951535351,0.7415862680648467,0.012643747042793583,0.749864762466059,0.01791130373297245,0.7338333482048396,0.01614735847376037,938.5333333333333,54.30023531768122,0.9644580364227295,0.04281872113545736,0.7926099884138473,0.7926337360125606,0.18664512865293179,0.03732795981332231,0.7902813299232737,0.7572229409228115,0.2576557550158395,903.0,0.9610516066212269,0.5840236686390533,0.135,,
heloc,external_validation,B_XGBoost_resampling,XGBoost,xgboost_no_resampling,XGBoost + no resampling,none,False,success,,,4.293251399998553,False,True,True,5.0,3.0,15.0,0.7926287713876409,0.019226387603172752,0.798665311706205,0.01675380847656674,0.7446743618167353,0.01165254857021441,0.7561448006342658,0.015624259156995375,0.7338474608637224,0.01596189373520027,920.6,48.105162578112825,0.23271094957987468,0.03364332516988119,0.794132177060804,0.7989921537700666,0.18278995676431506,0.02896011989325919,0.7979539641943734,0.7612516073724818,0.25448785638859556,881.0,0.9659201557935735,0.5842167255594818,0.155,,
heloc,external_validation,B_XGBoost_resampling,XGBoost,xgboost_smote,XGBoost + SMOTE,SMOTE,False,success,,,5.114482400007546,False,True,True,5.0,3.0,15.0,0.7944949219278947,0.020077780621479753,0.7993772576895573,0.017430774222444254,0.7427037635366793,0.01509684349096171,0.7468413002448658,0.01765711687535751,0.7388407086002334,0.017638903129549858,942.8666666666667,59.06817153839188,0.2858518282572428,0.032579628626505534,0.7944668112405234,0.7993463702832395,0.1827963310731738,0.029209661283346292,0.7963917525773195,0.7605877268798618,0.249208025343189,886.0,0.9659201557935735,0.5825014679976512,0.145,,
